movieId,genre
281,Comedy
432,Adventure
471,Comedy
562,Drama
709,Adventure
748,Sci-Fi
780,Thriller
1025,Animation
1035,Musical
1050,Documentary
1121,Drama
1131,Mystery
1135,Comedy
1151,Comedy
1200,Adventure
1222,War
1344,Drama
1468,Comedy
1649,Documentary
1997,Mystery
2005,Adventure
2051,Children
2074,Romance
2144,Comedy
2377,Horror
2400,Children
2429,Fantasy
2617,Comedy
2681,Sci-Fi
2819,Drama
2970,Adventure
2987,Comedy
3326,Comedy
3364,Film-Noir
3480,Romance
3554,Romance
3629,Romance
3633,Adventure
3640,Drama
3702,Action
3710,Thriller
3741,Drama
3784,Comedy
4079,Sci-Fi
4262,Drama
4299,Romance
4462,Fantasy
4878,Mystery
4961,Documentary
5049,Drama
5373,Romance
5706,Comedy
5782,Thriller
6252,Comedy
6263,Drama
6528,Comedy
6663,Crime
6696,Romance
6950,Thriller
7318,Drama
7366,Drama
7705,Romance
8481,Action
8939,Sci-Fi
26375,Comedy
26693,Drama
26903,Romance
27075,Fantasy
32456,Comedy
36708,Adventure
37733,Action
38095,Crime
41627,Action
42285,Horror
44849,Sci-Fi
46062,Musical
48319,Adventure
49278,Thriller
52287,Sci-Fi
52462,Sci-Fi
55444,Drama
62792,Drama
62956,Action
68791,Thriller
69224,Drama
70336,Adventure
70697,Action
72737,Musical
79357,Fantasy
85394,Documentary
93139,Action
93443,Drama
93502,Thriller
95170,Children
95780,Action
95796,Horror
95965,Animation
96832,Musical
101423,Action
102194,Adventure
103141,Animation
106873,Drama
112460,Animation
113849,Crime
121781,Animation
122886,Action
122904,Adventure
134095,Drama
135534,Comedy
136024,Animation
146309,Action
150548,Crime
151653,Fantasy
155509,Romance
158035,Animation
160978,Horror
163056,Fantasy
173873,Children
174727,Crime
175661,Action
179211,Comedy
179953,Comedy
57326,Action
93819,Horror
136598,Comedy
145,Drama
273,Horror
289,Comedy
380,Comedy
673,Animation
724,Drama
918,Musical
1064,Children
1235,Comedy
1262,Adventure
1390,Comedy
1624,Drama
1831,Sci-Fi
1844,Drama
1881,Adventure
2097,Thriller
2110,Crime
2513,Horror
2514,Comedy
2662,Drama
2784,Horror
2952,Crime
3270,Comedy
3402,Drama
3707,Drama
3739,Romance
3745,Adventure
3901,Comedy
4081,Comedy
4285,Comedy
4434,Sci-Fi
4911,Fantasy
5181,Thriller
5248,Action
5425,War
5611,War
5799,Drama
6584,Adventure
6959,Adventure
6967,Horror
6992,Comedy
7001,Horror
7107,Comedy
7142,Romance
7357,Drama
7570,Action
8235,Action
8481,Thriller
8501,Thriller
8861,Horror
8969,Comedy
26171,Comedy
26464,Action
26542,Fantasy
